Theta,Phi,Power
0,0,0,2.540346087811312e-15
1,0,5,2.3419322552242205e-15
2,0,10,1.800876191759383e-15
3,0,15,1.0625184976957494e-15
4,0,20,3.1754094586978483e-16
5,0,25,-2.56986021230438e-16
6,0,30,-5.500017638002156e-16
7,0,35,-5.452082537822682e-16
8,0,40,-3.1754125255904875e-16
9,0,45,2.383316724842052e-21
10,0,50,2.66452140872557e-16
11,0,55,3.8175970826208437e-16
12,0,60,3.175418014908978e-16
13,0,65,1.1983109622626706e-16
14,0,70,-1.1557887318832936e-16
15,0,75,-2.847028687112961e-16
16,0,80,-3.1754266664882075e-16
17,0,85,-2.048900813997403e-16
18,0,90,3.3705210719054634e-21
19,0,95,2.048953126282569e-16
20,0,100,3.175440038471232e-16
21,0,105,2.846995817108931e-16
22,0,110,1.1557224376594723e-16
23,0,115,-1.1983823385812836e-16
24,0,120,-3.175461799049631e-16
25,0,125,-3.817589885609092e-16
26,0,130,-2.664459930840832e-16
27,0,135,7.14996914767546e-21
28,0,140,3.175502904046391e-16
29,0,145,5.452123607346772e-16
30,0,150,5.499975505546363e-16
31,0,155,2.569724948177708e-16
32,0,160,-3.175617819018617e-16
33,0,165,-1.0625420428887565e-15
34,0,170,-1.8008965525204827e-15
35,0,175,-2.3419440379733674e-15
36,0,180,-2.5403460876234878e-15
37,0,185,-2.3419204721509187e-15
38,0,190,-1.800855830812213e-15
39,0,195,-1.0624949524977436e-15
40,0,200,-3.1752011000065817e-16
41,0,205,2.569995473751547e-16
42,0,210,5.500059767630773e-16
43,0,215,5.452041466191247e-16
44,0,220,3.1753221462975484e-16
45,0,225,-1.1916552002316255e-20
46,0,230,-2.6645828851545046e-16
47,0,235,-3.8176042779123e-16
48,0,240,-3.1753742294938004e-16
49,0,245,-1.1982395855890887e-16
50,0,250,1.1558550254663402e-16
51,0,255,2.847061555807262e-16
52,0,260,3.1754132931090183e-16
53,0,265,2.0488485008275933e-16
54,0,270,-1.011156321364643e-20
55,0,275,-2.0490054376830684e-16
56,0,280,-3.175453409058089e-16
57,0,285,-2.8469629457951825e-16
58,0,290,-1.155656142794877e-16
59,0,295,1.1984537145449317e-16
60,0,300,3.175505581915768e-16
61,0,305,3.817582686877042e-16
62,0,310,2.6643984515003175e-16
63,0,315,-1.6683305612177448e-20
64,0,320,-3.1755932816652224e-16
65,0,325,-5.452164674763466e-16
66,0,330,-5.499933370263379e-16
67,0,335,-2.5695896813715465e-16
68,0,340,3.175826180968855e-16
69,0,345,1.0625655880767619e-15
70,0,350,1.8009169130955054e-15
71,0,355,2.3419558203983573e-15
72,0,360,2.540346087060017e-15
73,5,0,3.5609006199595727
74,5,5,3.2827763349033363
75,5,10,2.524357282842297
76,5,15,1.4893729619427882
77,5,20,0.4451093323211214
78,5,25,-0.3602271701132012
79,5,30,-0.7709585835930073
80,5,35,-0.7642393366067047
81,5,40,-0.4451097622192346
82,5,45,3.3407865344686247e-06
83,5,50,0.3734961933632084
84,5,55,0.5351272365401473
85,5,60,0.4451105316780777
86,5,65,0.1679718471785817
87,5,70,-0.16201134292892475
88,5,75,-0.3990789391109235
89,5,80,-0.44511174440314644
90,5,85,-0.287202291601338
91,5,90,4.724588760610811e-06
92,5,95,0.28720962441514525
93,5,100,0.4451136188053341
94,5,105,0.3990743315962903
95,5,110,0.1620020502131079
96,5,115,-0.16798185227113266
97,5,120,-0.4451166690691341
98,5,125,-0.535126227707385
99,5,130,-0.37348757577212793
100,5,135,1.0022386198797519e-05
101,5,140,0.44512243091430737
102,5,145,0.764245093479538
103,5,150,0.7709526777249575
104,5,155,0.3602082096213676
105,5,160,-0.4451385389870541
106,5,165,-1.489405966143585
107,5,170,-2.5243858233026577
108,5,175,-3.282792851235085
109,5,180,-3.5609006196962922
110,5,185,-3.2827598181172073
111,5,190,-2.524328742121113
112,5,195,-1.4893399577349844
113,5,200,-0.44508012588360235
114,5,205,0.36024613022943835
115,5,210,0.7709644890647608
116,5,215,0.7642335794384773
117,5,220,0.44509709340683135
118,5,225,-1.670388834672052e-05
119,5,230,-0.3735048107502233
120,5,235,-0.5351282451317692
121,5,240,-0.4451043941083663
122,5,245,-0.16796184203627343
123,5,250,0.16202063555492177
124,5,255,0.39908354644196686
125,5,260,0.44510986980525313
126,5,265,0.2871949586635268
127,5,270,-1.4173766278930892e-05
128,5,275,-0.2872169571049454
129,5,280,-0.4451154930118154
130,5,285,-0.39906972389806894
131,5,290,-0.16199275740747127
132,5,295,0.16799185731392674
133,5,300,0.4451228062815367
134,5,305,0.5351252186334821
135,5,310,0.3734789579769856
136,5,315,-2.3385629848790227e-05
137,5,320,-0.44513509949204455
138,5,325,-0.764250850056969
139,5,330,-0.7709467714606095
140,5,335,-0.3601892487539397
141,5,340,0.4451677458813956
142,5,345,1.4894389703373712
143,5,350,2.5244143635021876
144,5,355,3.2828093671124496
145,5,360,3.5609006189064534
146,10,0,6.7696839600104814
147,10,5,6.240937524100129
148,10,10,4.799095181484495
149,10,15,2.8314702731164303
150,10,20,0.8462043255505065
151,10,25,-0.6848335170620379
152,10,30,-1.4656814424776716
153,10,35,-1.4529073767563325
154,10,40,-0.8462051428365451
155,10,45,6.351221623384709e-06
156,10,50,0.7100594650587555
157,10,55,1.017338773641961
158,10,60,0.8462066056668074
159,10,65,0.3193339104170468
160,10,70,-0.3080023024001583
161,10,75,-0.7586952238245533
162,10,80,-0.8462089111974364
163,10,85,-0.5460047763854483
164,10,90,8.981989716611616e-06
165,10,95,0.5460187169126662
166,10,100,0.846212474652803
167,10,105,0.7586864644062946
168,10,110,0.30798463587252267
169,10,115,-0.31935293125525294
170,10,120,-0.8462182735571041
171,10,125,-1.0173368557341906
172,10,130,-0.7100430820213339
173,10,135,1.905371543106987e-05
174,10,140,0.8462292274912383
175,10,145,1.452918321237473
176,10,150,1.4656702147393905
177,10,155,0.6847974709739444
178,10,160,-0.8462598508007146
179,10,165,-2.831533017919667
180,10,170,-4.799149440200854
181,10,175,-6.240968923557192
182,10,180,-6.769683959509956
183,10,185,-6.240906123779238
184,10,190,-4.799040922272284
185,10,195,-2.8314075282998714
186,10,200,-0.8461488007345389
187,10,205,0.6848695624360792
188,10,210,1.4656926694625478
189,10,215,1.452896431713613
190,10,220,0.8461810579587931
191,10,225,-3.1756023848787934e-05
192,10,230,-0.7100758477082248
193,10,235,-1.0173406910912957
194,10,240,-0.8461949374368668
195,10,245,-0.3193148894842462
196,10,250,0.3080199687570361
197,10,255,0.7587039828937865
198,10,260,0.8462053473700105
199,10,265,0.5459908356224847
200,10,270,-2.6945969144318684e-05
201,10,275,-0.5460326572041323
202,10,280,-0.8462160377361092
203,10,285,-0.7586777046390135
204,10,290,-0.30796696917412925
205,10,295,0.31937195199886564
206,10,300,0.8462299411077592
207,10,305,1.0173349373679834
208,10,310,0.7100266985959671
209,10,315,-4.445878730642443e-05
210,10,320,-0.8462533119228628
211,10,325,-1.4529292651570198
212,10,330,-1.4656589862477003
213,10,335,-0.6847614241718024
214,10,340,0.8463153764851546
215,10,345,2.8315957627095765
216,10,350,4.7992036984213415
217,10,355,6.241000322150417
218,10,360,6.76968395800838
219,15,0,9.299061953326277
220,15,5,8.5727583482872
221,15,10,6.592195983764188
222,15,15,3.889401284350442
223,15,20,1.1623742696039616
224,15,25,-0.9407099859450984
225,15,30,-2.0133085411300926
226,15,35,-1.9957616616538445
227,15,40,-1.162375392255115
228,15,45,8.724248237294146e-06
229,15,50,0.9753611830524596
230,15,55,1.3974502117825491
231,15,60,1.1623774016471806
232,15,65,0.43864762879735136
233,15,70,-0.4230821569670103
234,15,75,-1.0421688710600228
235,15,80,-1.1623805686003619
236,15,85,-0.7500102327395034
237,15,90,1.2337958364422913e-05
238,15,95,0.7500293819090993
239,15,100,1.1623854634805983
240,15,105,1.0421568388331797
241,15,110,0.42305788963991586
242,15,115,-0.43867375645027107
243,15,120,-1.1623934290474809
244,15,125,-1.397447577280956
245,15,130,-0.9753386787700045
246,15,135,2.617281416402979e-05
247,15,140,1.1624084757339657
248,15,145,1.9957766953553844
249,15,150,2.013293118337169
250,15,155,0.9406604718454246
251,15,160,-1.1624505409254455
252,15,165,-3.889487472688923
253,15,170,-6.592270515332855
254,15,175,-8.572801479620692
255,15,180,-9.299061952638738
256,15,185,-8.572715215767124
257,15,190,-6.5921214515144
258,15,195,-3.889315095993662
259,15,200,-1.1622979988789648
260,15,205,0.9407594990639266
261,15,210,2.0133239628881143
262,15,215,1.9957466271809015
263,15,220,1.1623423084698634
264,15,225,-4.362112543297051e-05
265,15,230,-0.9753836868020105
266,15,235,-1.3974528456544197
267,15,240,-1.1623613737803342
268,15,245,-0.43862150101449354
269,15,250,0.4231064240595461
270,15,255,1.0421809028074327
271,15,260,1.1623756732090529
272,15,265,0.7499910832460792
273,15,270,-3.701387508569155e-05
274,15,275,-0.7500485307548588
275,15,280,-1.1623903578497603
276,15,285,-1.0421448061269076
277,15,290,-0.4230336220782628
278,15,295,0.43869988397325405
279,15,300,1.1624094559812383
280,15,305,1.3974449421496389
281,15,310,0.9753161739546552
282,15,315,-6.10700617598043e-05
283,15,320,-1.1624415589064019
284,15,325,-1.9957917282855004
285,15,330,-2.0132776945093385
286,15,335,-0.9406109567649099
287,15,340,1.162526812843405
288,15,345,3.889573661009096
289,15,350,6.5923450462203785
290,15,355,8.572844609767591
291,15,360,9.299061950576125
292,20,0,10.869706547208663
293,20,5,10.020727683471707
294,20,10,7.705641300687661
295,20,15,4.546334976304079
296,20,20,1.3587034124556665
297,20,25,-1.0995992439424962
298,20,30,-2.3533635049334145
299,20,35,-2.3328528951876826
300,20,40,-1.3587047247265875
301,20,45,1.0197804752819084e-05
302,20,50,1.1401031513212154
303,20,55,1.6334845162503173
304,20,60,1.3587070735121103
305,20,65,0.5127367713633332
306,20,70,-0.4945422360527978
307,20,75,-1.2181948951319905
308,20,80,-1.3587107753749326
309,20,85,-0.8766896250611558
310,20,90,1.4421883356200722e-05
311,20,95,0.8767120085935136
312,20,100,1.3587164970178276
313,20,105,1.2181808306192958
314,20,110,0.49451386988796037
315,20,115,-0.5127673120696356
316,20,120,-1.35872580799725
317,20,125,-1.6334814367720474
318,20,130,-1.1400768459855193
319,20,135,3.059349544131898e-05
